year;elo_band;time_bin;game_stage;avg_accuracy;n_moves
2017;beginner;0;beginning;9,33906E+15;3810569
2017;beginner;0;end;9,28654E+15;3052314
2017;beginner;0;middle;9,28836E+15;2468529
2017;beginner;1;beginning;9,34016E+15;7370605
2017;beginner;1;end;9,329E+15;5757224
2017;beginner;1;middle;9,28471E+15;5766178
2017;beginner;2;beginning;9,28954E+15;6660524
2017;beginner;2;end;9,32633E+14;5653412
2017;beginner;2;middle;9,25055E+15;6645386
2017;beginner;3;beginning;9,2281E+15;4202385
2017;beginner;3;end;9,29265E+15;3485197
2017;beginner;3;middle;9,18872E+15;4428807
2017;beginner;4;beginning;9,18993E+15;2918804
2017;beginner;4;end;9,26933E+15;2382951
2017;beginner;4;middle;9,15333E+15;3168404
2017;beginner;5;beginning;9,1651E+15;2240296
2017;beginner;5;end;9,25168E+15;1774090
2017;beginner;5;middle;9,13586E+15;2450332
2017;beginner;6;beginning;9,14208E+15;1786846
2017;beginner;6;end;9,22633E+15;1394606
2017;beginner;6;middle;9,11453E+15;2009012
2017;beginner;7;beginning;9,1219E+15;1477344
2017;beginner;7;end;9,20751E+15;1118792
2017;beginner;7;middle;9,09195E+15;1684677
2017;beginner;8;beginning;9,09514E+15;1235526
2017;beginner;8;end;9,18604E+15;920952
2017;beginner;8;middle;9,06985E+15;1443056
2017;beginner;9;beginning;9,0771E+15;1048925
2017;beginner;9;end;9,16769E+15;762203
2017;beginner;9;middle;9,05324E+15;1241318
2017;beginner;10;beginning;9,05724E+15;899288
2017;beginner;10;end;9,15515E+15;641776
2017;beginner;10;middle;9,0334E+15;1079429
2017;beginner;11;beginning;9,0424E+15;773952
2017;beginner;11;end;9,13364E+15;544344
2017;beginner;11;middle;9,01633E+15;942751
2017;beginner;12;beginning;9,02294E+15;672111
2017;beginner;12;end;9,12337E+15;466274
2017;beginner;12;middle;9,00255E+15;831114
2017;beginner;13;beginning;9,01205E+14;586218
2017;beginner;13;end;9,10134E+15;401033
2017;beginner;13;middle;8,98907E+15;732491
2017;beginner;14;beginning;9,0015E+15;515414
2017;beginner;14;end;9,09683E+15;348405
2017;beginner;14;middle;8,977E+15;652659
2017;beginner;15;beginning;8,98419E+15;456388
2017;beginner;15;end;9,07253E+15;303879
2017;beginner;15;middle;8,96698E+15;578955
2017;beginner;16;beginning;8,97647E+15;404040
2017;beginner;16;end;9,0696E+15;267564
2017;beginner;16;middle;8,94708E+15;519370
2017;beginner;17;beginning;8,9655E+14;358864
2017;beginner;17;end;9,0549E+15;235131
2017;beginner;17;middle;8,94545E+15;465800
2017;beginner;18;beginning;8,9514E+14;320863
2017;beginner;18;end;9,04567E+15;209305
2017;beginner;18;middle;8,93041E+15;418886
2017;beginner;19;beginning;8,94371E+15;287850
2017;beginner;19;end;9,04265E+15;186032
2017;beginner;19;middle;8,92625E+15;377701
2017;beginner;20;beginning;8,93682E+15;257842
2017;beginner;20;end;9,03772E+14;166448
2017;beginner;20;middle;8,91934E+15;342002
2017;beginner;21;beginning;8,92639E+15;232146
2017;beginner;21;end;9,01664E+14;148135
2017;beginner;21;middle;8,9107E+15;309627
2017;beginner;22;beginning;8,9178E+15;210332
2017;beginner;22;end;9,0081E+15;133264
2017;beginner;22;middle;8,90452E+15;281593
2017;beginner;23;beginning;8,91166E+15;190669
2017;beginner;23;end;9,00545E+15;120078
2017;beginner;23;middle;8,903E+15;256060
2017;beginner;24;beginning;8,9032E+15;172859
2017;beginner;24;end;8,99817E+15;109142
2017;beginner;24;middle;8,89157E+15;234337
2017;beginner;25;beginning;8,90043E+14;156461
2017;beginner;25;end;8,99077E+15;98267
2017;beginner;25;middle;8,87117E+14;213363
2017;beginner;26;beginning;8,8869E+14;143423
2017;beginner;26;end;8,99988E+15;90193
2017;beginner;26;middle;8,88348E+15;196381
2017;beginner;27;beginning;8,88626E+15;130329
2017;beginner;27;end;8,97539E+15;81655
2017;beginner;27;middle;8,86718E+15;178923
2017;beginner;28;beginning;8,89051E+15;119452
2017;beginner;28;end;8,97724E+15;74804
2017;beginner;28;middle;8,85775E+15;165304
2017;beginner;29;beginning;8,88935E+15;109734
2017;beginner;29;end;8,96267E+15;68042
2017;beginner;29;middle;8,85862E+15;152023
2017;beginner;30;beginning;8,87113E+15;100902
2017;beginner;30;end;8,97694E+15;62522
2017;beginner;30;middle;8,84609E+15;140387
2017;beginner;31;beginning;8,85453E+15;92127
2017;beginner;31;end;8,97311E+15;57082
2017;beginner;31;middle;8,85028E+15;128730
2017;beginner;32;beginning;8,85672E+14;85191
2017;beginner;32;end;8,94421E+15;52836
2017;beginner;32;middle;8,85038E+15;118664
2017;beginner;33;beginning;8,85916E+15;78435
2017;beginner;33;end;8,9473E+15;48601
2017;beginner;33;middle;8,84118E+14;109890
2017;beginner;34;beginning;8,85605E+15;72374
2017;beginner;34;end;8,94725E+15;44172
2017;beginner;34;middle;8,84191E+15;102354
2017;beginner;35;beginning;8,84492E+15;67281
2017;beginner;35;end;8,91749E+15;41178
2017;beginner;35;middle;8,83295E+15;94544
2017;beginner;36;beginning;8,83775E+15;61371
2017;beginner;36;end;8,93815E+15;38301
2017;beginner;36;middle;8,82493E+15;87632
2017;beginner;37;beginning;8,82831E+15;57359
