elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.97335797419093,30413048
1400–1999,1,93.71918033052823,49321156
1400–1999,2,93.24880878356126,40476336
1400–1999,3,92.70374815727955,24350748
1400–1999,4,92.3729293460729,17124939
1400–1999,5,92.1324915884956,13178269
1400–1999,6,91.89312184316796,10634710
1400–1999,7,91.69765019728436,8737599
1400–1999,8,91.49960286170499,7316352
1400–1999,9,91.35256317697176,6162244
1400–1999,10,91.19238915623977,5270825
1400–1999,11,91.07288689456595,4528078
1400–1999,12,90.93613149075688,3937263
1400–1999,13,90.86056149099082,3421899
1400–1999,14,90.75228824177677,3010940
1400–1999,15,90.64168382087342,2652965
1400–1999,16,90.57115322389888,2358806
1400–1999,17,90.50262947905583,2096582
1400–1999,18,90.4171525755679,1880875
1400–1999,19,90.35827616504567,1686580
1400–1999,20,90.31016809236938,1526691
1400–1999,21,90.23716308634408,1377583
1400–1999,22,90.21177575467,1253988
1400–1999,23,90.16639515138786,1138544
1400–1999,24,90.08345829317481,1039449
1400–1999,25,90.05473054470357,949335
1400–1999,26,90.01750775057238,873902
1400–1999,27,89.95671495429636,799670
1400–1999,28,89.91095636325738,738198
1400–1999,29,89.8532147748293,679273
1400–1999,30,89.85743016239012,629435
1400–1999,31,89.89034957335889,579355
1400–1999,32,89.82511297999793,539223
1400–1999,33,89.71960686604984,497842
1400–1999,34,89.73938570102322,464673
1400–1999,35,89.73051537841305,433065
1400–1999,36,89.69290338466226,403829
1400–1999,37,89.72525114932401,375154
1400–1999,38,89.6413695647756,351364
1400–1999,39,89.69795425375133,327862
1400–1999,40,89.60152971730447,308755
1400–1999,41,89.57386901577428,289904
1400–1999,42,89.62340027717882,272184
1400–1999,43,89.59748411148115,254403
1400–1999,44,89.53491875980636,239398
1400–1999,45,89.50352137812308,225115
1400–1999,46,89.44895161446364,212876
1400–1999,47,89.51953376796183,199676
1400–1999,48,89.52827861426623,188917
1400–1999,49,89.49089492544833,177130
1400–1999,50,89.48883864315864,168768
1400–1999,51,89.45131438258062,158812
1400–1999,52,89.49228724088948,151351
1400–1999,53,89.44427403494153,142231
1400–1999,54,89.3947745286063,134598
1400–1999,55,89.29052907560514,128331
1400–1999,56,89.34965121637454,121278
1400–1999,57,89.35140112337328,115237
1400–1999,58,89.4111606190926,109924
1400–1999,59,89.40253927386128,104739
1400–1999,60,89.24921591859439,99704
2000+,0,95.1436391529149,16003538
2000+,1,94.73983588769073,25047660
2000+,2,94.13311005458215,16424088
2000+,3,93.57794958233076,8944552
2000+,4,93.26176114557782,6058330
2000+,5,92.99805909340355,4503838
2000+,6,92.78225501592006,3513004
2000+,7,92.57168890316973,2806325
2000+,8,92.41657511950305,2288815
2000+,9,92.23338525534298,1881763
2000+,10,92.11394299555838,1580335
2000+,11,91.99803636214607,1327755
2000+,12,91.90028439438055,1137205
2000+,13,91.82017384761997,975901
2000+,14,91.76704398628726,846879
2000+,15,91.6438858047187,739086
2000+,16,91.57492294814845,650087
2000+,17,91.51421911311506,573731
2000+,18,91.43375313973512,509580
2000+,19,91.41881424696557,455068
2000+,20,91.38045912071257,408781
2000+,21,91.30727623757275,366812
2000+,22,91.26322297727684,332333
2000+,23,91.23529823834983,300000
2000+,24,91.2274666365929,273735
2000+,25,91.1319507976758,248076
2000+,26,91.12948182314959,227973
2000+,27,91.14327945635222,208866
2000+,28,91.10563214702252,191781
2000+,29,91.10692487968473,176204
2000+,30,91.00690630818798,162505
2000+,31,91.02050897452322,149912
2000+,32,91.04765218694392,139320
2000+,33,91.08258663827516,128916
2000+,34,90.95609152702325,120156
2000+,35,90.95719782965183,111227
2000+,36,90.92932312257632,104367
2000+,37,91.04655481620732,96468
2000+,38,90.84623223179089,90469
2000+,39,90.87184365610909,84581
2000+,40,90.83799973946459,79781
2000+,41,90.89385423001316,74098
2000+,42,90.77298941425069,69980
2000+,43,90.76705211402587,65818
2000+,44,90.71448098274178,62225
2000+,45,90.83691684317488,57903
2000+,46,90.83131013108695,54777
2000+,47,90.83215118093611,52045
2000+,48,90.71493437260838,49172
2000+,49,90.8145471164499,46127
2000+,50,90.67527809856071,44162
2000+,51,90.73004359013316,41492
2000+,52,90.85948526430629,39353
2000+,53,90.68000249244155,37496
2000+,54,90.83547936342906,35244
2000+,55,90.93309417810056,33480
2000+,56,90.71823439013482,31993
2000+,57,90.60616355602319,30355
2000+,58,90.73111059626653,28902
2000+,59,90.47704032299669,27231
