Date,PlayerElo,TimeControlLevel,TotalGames,TotalBlunders,AverageBlunders
April 2023,Beginner,Blitz,15633037,7327811,0.4687387997610445
April 2023,Beginner,Bullet,10372452,3054934,0.2945238020865269
April 2023,Beginner,Classic,231753,261550,1.1285722299171963
April 2023,Beginner,Rapid,6100152,4825720,0.7910819271388647
April 2023,Beginner,Ultra Bullet,419130,247418,0.5903132679598215
April 2023,Expert,Blitz,6121872,1954313,0.3192345413298416
April 2023,Expert,Bullet,6767918,624557,0.09228199868851839
April 2023,Expert,Classic,19931,19589,0.982840800762631
April 2023,Expert,Rapid,894097,585744,0.6551235492345909
April 2023,Expert,Ultra Bullet,53893,9635,0.17878017553300057
April 2023,Intermediate,Blitz,26587583,6660859,0.2505251793666239
April 2023,Intermediate,Bullet,19306856,2796800,0.1448604578601508
April 2023,Intermediate,Classic,445505,430878,0.9671675963232735
April 2023,Intermediate,Rapid,7886687,4483021,0.5684289233235704
April 2023,Intermediate,Ultra Bullet,595179,189487,0.31836976775054227
February 2023,Beginner,Blitz,15581007,8142843,0.5226133971957011
February 2023,Beginner,Bullet,10355349,3258507,0.31466896963105734
February 2023,Beginner,Classic,260646,321669,1.2341221426762736
February 2023,Beginner,Rapid,6229747,5471946,0.878357660431475
February 2023,Beginner,Ultra Bullet,407192,246947,0.6064632900449911
February 2023,Expert,Blitz,5817154,1929773,0.33173833802577685
February 2023,Expert,Bullet,6053959,568479,0.09390202345275216
February 2023,Expert,Classic,18802,19970,1.0621210509520265
February 2023,Expert,Rapid,869950,577089,0.6633588137249267
February 2023,Expert,Ultra Bullet,48769,11299,0.23168406159650598
February 2023,Intermediate,Blitz,25557690,6724886,0.2631257363243705
February 2023,Intermediate,Bullet,18223321,2668661,0.14644207825785432
February 2023,Intermediate,Classic,445972,445466,0.9988653996215009
February 2023,Intermediate,Rapid,7696600,4566808,0.5933539484967388
February 2023,Intermediate,Ultra Bullet,583051,190160,0.3261464262989001
January 2023,Beginner,Blitz,15787311,8071953,0.5112937219010888
January 2023,Beginner,Bullet,10289881,3154755,0.3065880936815499
January 2023,Beginner,Classic,263151,333166,1.266063970876037
January 2023,Beginner,Rapid,6027622,5237607,0.8689342165119179
January 2023,Beginner,Ultra Bullet,420769,237509,0.5644641121375387
January 2023,Expert,Blitz,6473761,2120866,0.32760956111910833
January 2023,Expert,Bullet,6595429,621297,0.09420115052409783
January 2023,Expert,Classic,19816,20452,1.0320952765442066
January 2023,Expert,Rapid,938294,617570,0.6581838954528112
January 2023,Expert,Ultra Bullet,43913,9422,0.21456060847584998
January 2023,Intermediate,Blitz,27433796,7147393,0.2605324104618989
January 2023,Intermediate,Bullet,19437298,2867190,0.14750970016511555
January 2023,Intermediate,Classic,459455,456866,0.9943650629550228
January 2023,Intermediate,Rapid,8052188,4737038,0.5882920269621127
January 2023,Intermediate,Ultra Bullet,616624,191602,0.3107274449259192
June 2023,Beginner,Blitz,14181616,6157363,0.4341792218883941
June 2023,Beginner,Bullet,9227153,2513713,0.27242563334541003
June 2023,Beginner,Classic,195757,205627,1.0504196529370597
June 2023,Beginner,Rapid,5467069,3921425,0.7172810513275029
June 2023,Beginner,Ultra Bullet,372902,200927,0.5388198507918971
June 2023,Expert,Blitz,6039197,1994416,0.33024522962241504
June 2023,Expert,Bullet,6972028,634464,0.09100135570310389
June 2023,Expert,Classic,19511,19502,0.999538721746707
June 2023,Expert,Rapid,882404,566198,0.6416539362922199
June 2023,Expert,Ultra Bullet,50718,10404,0.20513427185614574
June 2023,Intermediate,Blitz,25947275,6285424,0.24223830826165754
June 2023,Intermediate,Bullet,18562207,2626585,0.1415017621557609
June 2023,Intermediate,Classic,409992,375638,0.9162081211340709
June 2023,Intermediate,Rapid,7504169,4010100,0.534382954328454
June 2023,Intermediate,Ultra Bullet,597572,185971,0.31121103398418937
March 2023,Beginner,Blitz,17162966,8366104,0.48745094525037225
March 2023,Beginner,Bullet,11444714,3450796,0.30151876228623975
March 2023,Beginner,Classic,267200,304133,1.1382223053892215
March 2023,Beginner,Rapid,6707749,5447409,0.8121068632711212
March 2023,Beginner,Ultra Bullet,451927,266027,0.5886503793754301
March 2023,Expert,Blitz,6341716,2067588,0.3260297370617038
March 2023,Expert,Bullet,6878413,624876,0.0908459553097495
March 2023,Expert,Classic,20206,21165,1.0474611501534197
March 2023,Expert,Rapid,932382,601219,0.6448204705796551
March 2023,Expert,Ultra Bullet,60661,10739,0.17703301956776182
March 2023,Intermediate,Blitz,27936956,6934707,0.2482270079818288
March 2023,Intermediate,Bullet,20184543,2900063,0.14367741692244407
March 2023,Intermediate,Classic,480277,461790,0.9615076299718704
March 2023,Intermediate,Rapid,8327834,4672687,0.5610927163053442
March 2023,Intermediate,Ultra Bullet,664570,192897,0.2902583625502204
May 2023,Beginner,Blitz,15684393,7408625,0.472356501140975
May 2023,Beginner,Bullet,10420495,3000185,0.2879119466013851
May 2023,Beginner,Classic,225016,251946,1.1196803782842109
May 2023,Beginner,Rapid,6058432,4734187,0.7814211664008113
May 2023,Beginner,Ultra Bullet,391919,224057,0.571692109849229
May 2023,Expert,Blitz,6346320,2115637,0.33336437494484994
May 2023,Expert,Bullet,7203927,670283,0.09304411330098153
May 2023,Expert,Classic,20739,20948,1.0100776315155022
May 2023,Expert,Rapid,934510,614671,0.6577468405902559
May 2023,Expert,Ultra Bullet,53232,11849,0.2225916741809438
May 2023,Intermediate,Blitz,27530595,7048181,0.25601266518213645
May 2023,Intermediate,Bullet,19971533,2925932,0.1465051280740442
May 2023,Intermediate,Classic,443137,430167,0.9707313990932827
May 2023,Intermediate,Rapid,8036388,4605267,0.5730518486663412
May 2023,Intermediate,Ultra Bullet,613978,203448,0.3313604070504155
