Date,PlayerElo,TimeControlLevel,TotalGames,TotalBlunders,AverageBlunders
2017,Beginner,Blitz,1469121,6060278,4.125104739500695
2017,Beginner,Bullet,902783,3863218,4.2792321078265765
2017,Beginner,Classic,263108,1110116,4.219240768049622
2017,Beginner,Rapid,976279,4306695,4.4113363085757245
2017,Beginner,Ultra Bullet,49964,326752,6.539748619005684
2017,Expert,Blitz,378764,963607,2.54408285898343
2017,Expert,Bullet,177175,552587,3.118876816706646
2017,Expert,Classic,19128,30242,1.5810330405687996
2017,Expert,Rapid,175627,378830,2.157014582040347
2017,Expert,Ultra Bullet,4227,30393,7.190205819730306
2017,Intermediate,Blitz,3197161,9818530,3.0710151912900225
2017,Intermediate,Bullet,2004901,7254972,3.6186185751815176
2017,Intermediate,Classic,503348,1410521,2.802277946867773
2017,Intermediate,Rapid,2450900,7627240,3.1120159941246075
2017,Intermediate,Ultra Bullet,84724,605638,7.148364099900855
2018,Beginner,Blitz,3087061,13626293,4.414001861317285
2018,Beginner,Bullet,1840144,8401031,4.565420423619021
2018,Beginner,Classic,836996,3886462,4.643345965811068
2018,Beginner,Rapid,1627497,7335635,4.507310919774353
2018,Beginner,Ultra Bullet,60269,418902,6.950538419419602
2018,Expert,Blitz,542452,1472273,2.714107423329622
2018,Expert,Bullet,249329,862779,3.4604037235941267
2018,Expert,Classic,31753,51608,1.6252952476931313
2018,Expert,Rapid,161733,358513,2.216696654362437
2018,Expert,Ultra Bullet,9689,61827,6.381153885849933
2018,Intermediate,Blitz,4511146,14657284,3.2491264969034477
2018,Intermediate,Bullet,2401793,9043737,3.765410674441969
2018,Intermediate,Classic,1421613,4302768,3.0266802568631546
2018,Intermediate,Rapid,2910746,9424890,3.237963738505524
2018,Intermediate,Ultra Bullet,106292,794923,7.478671960260415
2019,Beginner,Blitz,4531040,21062386,4.648466135809881
2019,Beginner,Bullet,2331502,10815715,4.638947339526194
2019,Beginner,Classic,1121963,5497991,4.9003318291244895
2019,Beginner,Rapid,2119477,9946098,4.692713343905123
2019,Beginner,Ultra Bullet,79118,556792,7.037488308602341
2019,Expert,Blitz,891702,2548050,2.8575129359359965
2019,Expert,Bullet,392670,1329271,3.385211500751267
2019,Expert,Classic,72722,136729,1.8801600616044662
2019,Expert,Rapid,201361,477753,2.37261932549004
2019,Expert,Ultra Bullet,7974,56458,7.080260847755205
2019,Intermediate,Blitz,5946230,20784270,3.4953693348558668
2019,Intermediate,Bullet,2672589,10238710,3.8310080599748035
2019,Intermediate,Classic,2190646,7145710,3.261919086881221
2019,Intermediate,Rapid,3491780,12038206,3.4475843266185153
2019,Intermediate,Ultra Bullet,104616,795133,7.60049132063929
2020,Beginner,Blitz,7707907,37917345,4.919278994933385
2020,Beginner,Bullet,3573763,16937787,4.73948244469485
2020,Beginner,Classic,763832,3770940,4.936870934969994
2020,Beginner,Rapid,4793914,24170112,5.041832623614024
