elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,93.80042053514659,67629564
1400–1999,1,93.59844318912735,125086988
1400–1999,2,93.13505183782945,104165130
1400–1999,3,92.60861283724755,60078216
1400–1999,4,92.33037597221565,40869952
1400–1999,5,92.13900656371449,30813005
1400–1999,6,91.93704539257509,24616691
1400–1999,7,91.73080502619719,20163146
1400–1999,8,91.53756273016789,16897316
1400–1999,9,91.37583723769815,14273973
1400–1999,10,91.2191071423146,12247262
1400–1999,11,91.06741940798575,10553671
1400–1999,12,90.95292708611977,9210034
1400–1999,13,90.83749249213989,8052457
1400–1999,14,90.73406875164126,7114372
1400–1999,15,90.63743669136909,6295941
1400–1999,16,90.53678314033614,5628705
1400–1999,17,90.46564926261529,5024345
1400–1999,18,90.38058205034561,4528908
1400–1999,19,90.30382448973221,4083021
1400–1999,20,90.256847253005,3708017
1400–1999,21,90.18509030645468,3361091
1400–1999,22,90.1317990584896,3073062
1400–1999,23,90.05990934213743,2801663
1400–1999,24,90.01877544665984,2577495
1400–1999,25,89.98911295999231,2358090
1400–1999,26,89.94228903408667,2179584
1400–1999,27,89.92128727465848,2006309
1400–1999,28,89.85289480895904,1862982
1400–1999,29,89.84161743357842,1717068
1400–1999,30,89.80127077868619,1600347
1400–1999,31,89.75652056559987,1484400
1400–1999,32,89.72873966785485,1381833
1400–1999,33,89.72444056293656,1286062
1400–1999,34,89.66652723838828,1204212
1400–1999,35,89.62302779999186,1121325
1400–1999,36,89.60702664880448,1052195
1400–1999,37,89.5864705014104,982771
1400–1999,38,89.61525814764077,927562
1400–1999,39,89.54962613928278,868580
1400–1999,40,89.51738273823115,816082
1400–1999,41,89.52986639425399,767329
1400–1999,42,89.49091797460271,726182
1400–1999,43,89.51254871384754,684870
1400–1999,44,89.45977138375933,648166
1400–1999,45,89.4503631111438,610033
1400–1999,46,89.41988942195488,578846
1400–1999,47,89.41507425187876,547025
1400–1999,48,89.38474799980673,519058
1400–1999,49,89.44959537643182,491688
1400–1999,50,89.36379387230579,465649
1400–1999,51,89.35667470269641,442612
1400–1999,52,89.37262620020404,421863
1400–1999,53,89.32502054925645,399935
1400–1999,54,89.32329215977403,380928
1400–1999,55,89.31826118890649,363114
1400–1999,56,89.31196958107584,346540
1400–1999,57,89.34198434027125,327469
1400–1999,58,89.31113108623788,315002
1400–1999,59,89.24650624510824,300015
1400–1999,60,89.17026432469206,287254
2000+,0,94.88447369643681,17747847
2000+,1,94.54511447969973,26039421
2000+,2,94.03355935927867,16278567
2000+,3,93.65033232493387,8705979
2000+,4,93.51811486552086,5879233
2000+,5,93.36403776740966,4311957
2000+,6,93.15443981034039,3300654
2000+,7,92.96197772868138,2596563
2000+,8,92.75965837170128,2094403
