elo_band,time_bin,avg_accuracy,n_moves
1400–1999,0,94.07003164922752,93185611
1400–1999,1,93.81587525883933,149175248
1400–1999,2,93.37011908963898,121429289
1400–1999,3,92.84069625131389,72893827
1400–1999,4,92.52747340727178,51167056
1400–1999,5,92.28146146199697,39265581
1400–1999,6,92.06668929456592,31620499
1400–1999,7,91.86696140928338,25916197
1400–1999,8,91.68402878475756,21653323
1400–1999,9,91.53621620103536,18217503
1400–1999,10,91.38248385568183,15554140
1400–1999,11,91.2529747313689,13331205
1400–1999,12,91.14988512655881,11579568
1400–1999,13,91.05294333720356,10075387
1400–1999,14,90.96895392792929,8852219
1400–1999,15,90.87087042660072,7789661
1400–1999,16,90.7921603830493,6926359
1400–1999,17,90.71257168458305,6151218
1400–1999,18,90.65627148320472,5520159
1400–1999,19,90.58861594485806,4947848
1400–1999,20,90.5322431692851,4470876
1400–1999,21,90.48523246255013,4033625
1400–1999,22,90.4350448689858,3667744
1400–1999,23,90.37742664444238,3329606
1400–1999,24,90.32566726994733,3045293
1400–1999,25,90.31881221701985,2776905
1400–1999,26,90.2535115290015,2550712
1400–1999,27,90.21776073814117,2336133
1400–1999,28,90.19362715593437,2154334
1400–1999,29,90.15545138067613,1980401
1400–1999,30,90.10247005004076,1835513
1400–1999,31,90.09664354585348,1692258
1400–1999,32,90.04700006147115,1570729
1400–1999,33,90.02744528715199,1455370
1400–1999,34,89.99590228725927,1355962
1400–1999,35,89.99542511724393,1256521
1400–1999,36,89.94705253913784,1173945
1400–1999,37,89.98533489267335,1093345
1400–1999,38,89.8884252154984,1023598
1400–1999,39,89.88015177442016,955013
1400–1999,40,89.88874299178477,896416
1400–1999,41,89.87389445635567,837938
1400–1999,42,89.83039723557026,786938
1400–1999,43,89.84014904435725,738086
1400–1999,44,89.77405202453544,695812
1400–1999,45,89.79008157554401,653310
1400–1999,46,89.79638005909085,618420
1400–1999,47,89.7767687141557,580852
1400–1999,48,89.73691119782201,548837
1400–1999,49,89.73542470099254,517360
1400–1999,50,89.7200279229856,489860
1400–1999,51,89.7072320745588,462251
1400–1999,52,89.73104479763931,438896
1400–1999,53,89.67722124260087,414420
